식재료명,식품분류,식품이미지URL,음식이미지URL
우유,우유류 및 유제품,,
월계수,조미료류,,
유채,채소류,,
율무,곡류 및 그 제품,,
은어,어패류 및 기타 수산물,,
은행,견과 및 종실류,,
인삼,기타,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0773-2/978-89-480-0773-2_A_114.jpg
임연수어,어패류 및 기타 수산물,,
자두,과일류,,
자몽,과일류,,
잣,견과 및 종실류,,
장문볼락,어패류 및 기타 수산물,,
장어,어패류 및 기타 수산물,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1622-2/978-89-480-1622-2_A_111.jpg
재첩,어패류 및 기타 수산물,,
전갱이,어패류 및 기타 수산물,,
전복,어패류 및 기타 수산물,,
전분,감자 및 전분류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0773-2/978-89-480-0773-2_A_088.jpg
전어,어패류 및 기타 수산물,,
정어리,어패류 및 기타 수산물,,
조,곡류 및 그 제품,,
조개,어패류 및 기타 수산물,,
조기,어패류 및 기타 수산물,,
조청,당류,,
주꾸미,어패류 및 기타 수산물,,
쥐치,어패류 및 기타 수산물,,
참기름,유지류,,
참깨,견과 및 종실류,,
참나물,채소류,,
참나물,채소류,,
참나물,채소류,,
참외,과일류,,
찹쌀,곡류 및 그 제품,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0779-0/978-89-480-0779-0_A_066.jpg
청경채,채소류,,
청어,어패류 및 기타 수산물,,
취나물,채소류,,
치즈,우유류 및 유제품,,
칡,감자 및 전분류,,
캐슈너트,견과 및 종실류,,
케일,채소류,,
콜라비,채소류,,
콩나물,채소류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0772-5/978-89-480-0772-5_A_094.jpg
키위,과일류,,
토란,감자 및 전분류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1622-2/978-89-480-1622-2_A_059.jpg
토마토,채소류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_043.jpg,
톳,해조류,,
파,채소류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1254-5/978-89-480-1254-5_A_079.jpg
파래,해조류,,
파슬리,채소류,,
파인애플,과일류,,
파프리카,채소류,,
팥,두류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_097.jpg,
팽이버섯,버섯류,,
포도,과일류,,
표고버섯,버섯류,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-6205-2/978-89-480-6205-2_B_073.jpg,
피망,채소류,,
피스타치오,견과 및 종실류,,
피칸,견과 및 종실류,,
한치,어패류 및 기타 수산물,,
해바라기씨,견과 및 종실류,,
해삼,어패류 및 기타 수산물,,
햄,육류,,
호두,견과 및 종실류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-2150-9/978-89-480-2150-9_A_106.jpg
호밀빵,곡류 및 그 제품,,
호박,채소류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-1201-9/978-89-480-1201-9_A_123.jpg
호박,채소류,,https://www.koreanfood.rda.go.kr/resources/UploadFiles/mgnNew/978-89-480-0779-0/978-89-480-0779-0_A_236.jpg
호박씨,견과 및 종실류,,
홍어,어패류 및 기타 수산물,,
황새치,어패류 및 기타 수산물,,
후추,조미료류,,
